WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2023-04-01,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,6058.0,Political violence,1535.0,0.7197,36.0185
2023-04-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,8866.0,Political violence,1535.0,0.7197,36.0185
2023-04-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,461.0,Political violence,1535.0,0.7197,36.0185
2023-05-13,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,3264.0,Political violence,1535.0,0.7197,36.0185
2023-09-09,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,696.0,Political violence,1535.0,0.7197,36.0185
2023-09-30,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,475.0,Political violence,1535.0,0.7197,36.0185
2023-10-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,4,1,21579.0,Political violence,1535.0,0.7197,36.0185
2023-10-28,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,9956.0,Political violence,1535.0,0.7197,36.0185
2023-11-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,696.0,Political violence,1535.0,0.7197,36.0185
2023-11-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,257.0,Political violence,1535.0,0.7197,36.0185
2023-12-09,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,4,4025.0,Political violence,1535.0,0.7197,36.0185
2024-01-27,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,696.0,Political violence,1535.0,0.7197,36.0185
2024-02-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,3960.0,Political violence,1535.0,0.7197,36.0185
2024-02-24,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,452.0,Political violence,1535.0,0.7197,36.0185
2024-03-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,4,1,18443.0,Political violence,1535.0,0.7197,36.0185
2024-03-23,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,5949.0,Political violence,1535.0,0.7197,36.0185
2024-05-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,6724.0,Political violence,1535.0,0.7197,36.0185
2024-05-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,3264.0,Political violence,1535.0,0.7197,36.0185
2024-11-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,696.0,Political violence,1535.0,0.7197,36.0185
2025-01-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,5970.0,Political violence,1535.0,0.7197,36.0185
2025-03-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,696.0,Political violence,1535.0,0.7197,36.0185
2025-03-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,5856.0,Political violence,1535.0,0.7197,36.0185
2025-04-26,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,3,5512.0,Political violence,1535.0,0.7197,36.0185
2025-05-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,1208.0,Political violence,1535.0,0.7197,36.0185
2025-07-05,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,3264.0,Political violence,1535.0,0.7197,36.0185
2023-02-25,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Air/drone strike,1,0,8866.0,Political violence,1535.0,0.7197,36.0185
2023-03-11,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Air/drone strike,1,0,8866.0,Political violence,1535.0,0.7197,36.0185
2022-12-24,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Remote explosive/landmine/IED,1,2,452.0,Political violence,1535.0,0.7197,36.0185
2023-09-30,Eastern Africa,Kenya,Baringo,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,475.0,Political violence,1535.0,0.7197,36.0185
1998-06-27,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2003-07-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2003-11-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2007-12-22,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2014-07-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2014-07-26,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2014-08-02,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,,Demonstrations,1535.0,0.7197,36.0185
2014-08-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2014-09-20,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2015-03-21,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2015-05-02,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2016-11-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2017-04-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2017-07-08,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2018-04-21,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2018-04-28,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2019-03-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2019-10-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,,Demonstrations,1535.0,0.7197,36.0185
2021-09-18,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,275.0,Demonstrations,1535.0,0.7197,36.0185
2022-01-01,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,661.0,Demonstrations,1535.0,0.7197,36.0185
2022-01-08,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1870.0,Demonstrations,1535.0,0.7197,36.0185
2022-02-12,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7003.0,Demonstrations,1535.0,0.7197,36.0185
2022-02-19,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,98.0,Demonstrations,1535.0,0.7197,36.0185
2022-03-05,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,280.0,Demonstrations,1535.0,0.7197,36.0185
2022-04-23,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,2,0,6094.0,Demonstrations,1535.0,0.7197,36.0185
2022-06-11,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,280.0,Demonstrations,1535.0,0.7197,36.0185
2022-08-06,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,1870.0,Demonstrations,1535.0,0.7197,36.0185
2022-09-10,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7003.0,Demonstrations,1535.0,0.7197,36.0185
2022-10-15,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,415.0,Demonstrations,1535.0,0.7197,36.0185
2023-01-14,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,5541.0,Demonstrations,1535.0,0.7197,36.0185
2023-02-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,676.0,Demonstrations,1535.0,0.7197,36.0185
2023-03-18,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,179.0,Demonstrations,1535.0,0.7197,36.0185
2023-03-25,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,3912.0,Demonstrations,1535.0,0.7197,36.0185
2023-05-06,Eastern Africa,Kenya,Baringo,Protests,Peaceful protest,1,0,7143.0,Demonstrations,1535.0,0.7197,36.0185
